Species	Subject	Sex	Session	Trial	Trial_within_step	Trial2	half	first_trials	first_trial_per_method	trials_step34	Step	flexible	Blocked_method	Success	Method	Latency	other_methods_used	preexperience	transitions	1_method	1_meth_attempts	2_method	2_meth_attempts	3_method	3_meth_attempts	4_method	4_meth_attempts	5_method	5_meth_attempts	6_method	6_meth_attempts	7_method	7_meth_attempts	8_method	8_meth_attempts	9_method	9_meth_attempts	10_method	10_meth_attempts	11_method	11_meth_attempts	12_method	12_meth_attempts	13_method	13_meth_attempts	14_method	14_meth_attempts	15_method	15_meth_attempts	16_method	16_meth_attempts	17_method	17_meth_attempts	18_method	18_meth_attempts	19_method	19_meth_attempts	20_method	20_meth_attempts	21_method	21_meth_attempts	22_method	22_meth_attempts
small-clawed otters	Blacky	m	1	1	1	1	1	1	1		1	0	-	1	swing	39	-		2	s	1	d	1																																								
small-clawed otters	Blacky	m	1	2	2	2	1	2	2		1	0	-	1	swing	10	-		2	s	1	d	1																																								
small-clawed otters	Blacky	m	1	3	3	3	1	3	1		1	0	-	1	stick	29	swing		1	s	2																																										
small-clawed otters	Blacky	m	2	4	4	4	1	4	1		1	0	-	1	lid	26			3	s	1	d	1	l	1																																						
small-clawed otters	Blacky	m	2	5	5	5	1	5	3		1	0	-	1	swing	10			2	s	1	d	1																																								
small-clawed otters	Blacky	m	2	6	6	6	1	6	4		1	0	-	1	swing	12			2	s	1	d	1																																								
small-clawed otters	Blacky	m	3	7	7			7			1	0	-	1	swing	12			1	d	1																																										
small-clawed otters	Blacky	m	3	8	8			8	2		1	0	-	1	lid	12			2	s	1	l	1																																								
small-clawed otters	Blacky	m	3	9	9			9			1	0	-	1	swing	13			2	s	1	d	1																																								
small-clawed otters	Blacky	m	4	10	10			10			1	0	-	1	swing	13			2	s	1	d	1																																								
small-clawed otters	Blacky	m	4	11	11			11	3		1	0	-	1	lid	6	swing		2	s	1	l	1																																								
small-clawed otters	Blacky	m	4	12	12			12	2		1	0	-	1	stick	15			1	s	1																																										
small-clawed otters	Blacky	m	5	13	13				3		1	0	-	1	stick	7			1	s	1																																										
small-clawed otters	Blacky	m	5	14	14				4		1	0	-	1	stick	7			1	s	1																																										
small-clawed otters	Blacky	m	5	15	15				4		1	0	-	1	lid	11			2	s	1	l	1																																								
small-clawed otters	Blacky	m	6	16	16						1	0	-	1	lid	7			2	s	1	l	1																																								
small-clawed otters	Blacky	m	6	17	17						1	0	-	1	swing	9			2	s	1	d	1																																								
small-clawed otters	Blacky	m	6	18	18						1	0	-	1	lid	5			2	s	1	l	1																																								
small-clawed otters	Blacky	m	7	19	19						1	0	-	1	swing	12			1	d	1																																										
small-clawed otters	Blacky	m	7	20	20						1	0	-	1	lid	9	swing		2	s	1	l	1																																								
small-clawed otters	Blacky	m	7	21	21						1	0	-	1	lid	6			2	s	1	l	1																																								
small-clawed otters	Blacky	m	8	22	22						1	0	-	1	lid	4	swing		2	s	1	l	1																																								
small-clawed otters	Blacky	m	8	23	23						1	0	-	1	swing	11			2	s	1	d	1																																								
small-clawed otters	Blacky	m	8	24	24	7	2				1	0	-	1	lid	5	swing		2	s	1	l	1																																								
small-clawed otters	Blacky	m	9	25	25	8	2				1	0	-	1	lid	4			1	l	1																																										
small-clawed otters	Blacky	m	9	26	26	9	2				1	0	-	1	lid	6			2	s	1	l	1																																								
small-clawed otters	Blacky	m	9	27	27	10	2				1	0	-	1	lid	4			1	l	1																																										
small-clawed otters	Blacky	m	10	28	28	11	2				1	0	-	1	lid	5			1	l	1																																										
small-clawed otters	Blacky	m	10	29	29	12	2				1	0	-	1	lid	3			1	l	1																																										
small-clawed otters	Blacky	m	11	30	1	1	1				2	0	lid	1	swing	10			2	l	1	d	1																																								
small-clawed otters	Blacky	m	11	31	2	2	1				2	0	lid	1	swing	6			2	l	1	d	1																																								
small-clawed otters	Blacky	m	11	32	3	3	1				2	0	lid	1	swing	10			2	l	1	d	1																																								
small-clawed otters	Blacky	m	12	33	4	4	1				2	0	lid	1	swing	8			1	d	1																																										
small-clawed otters	Blacky	m	12	34	5	5	1				2	0	lid	1	swing	7			1	d	1																																										
small-clawed otters	Blacky	m	12	35	6	6	1				2	0	lid	1	swing	5			1	d	1																																										
small-clawed otters	Blacky	m	13	36	7	7	2				2	0	lid	1	swing	7			1	d	1																																										
small-clawed otters	Blacky	m	13	37	8	8	2				2	0	lid	1	swing	7			1	d	1																																										
