Species	Subject	Sex	Session	Session_cont	Trial	Phase	Condition	con2	food_level	Success	Number_of_turns	Latency	Comment
small-clawed otters	Rudi	m	1		1	1	free_spin	free_spin	low	0	0	120	
small-clawed otters	Rudi	m	1		2	1	free_spin	free_spin	low	0	0	120	
small-clawed otters	Rudi	m	1		3	1	free_spin	free_spin	low	0	0	120	
small-clawed otters	Rudi	m	1		4	1	free_spin	free_spin	low	1	0	30	
small-clawed otters	Blacky	m	1		1	1	free_spin	free_spin	low	1	1	18	
small-clawed otters	Blacky	m	1		2	1	free_spin	free_spin	low	1	1	15	
small-clawed otters	Blacky	m	1		3	1	free_spin	free_spin	low	1	1	7	
small-clawed otters	Blacky	m	1		4	1	free_spin	free_spin	low	1	1	6	
small-clawed otters	James	m	1		1	1	free_spin	free_spin	low	1	1	17	
small-clawed otters	James	m	1		2	1	free_spin	free_spin	low	1	1	8	
small-clawed otters	James	m	1		3	1	free_spin	free_spin	low	1	1	9	
small-clawed otters	James	m	1		4	1	free_spin	free_spin	low	1	1	6	
small-clawed otters	Twoface	m	1		1	1	free_spin	free_spin	low	1	1	20	
small-clawed otters	Twoface	m	1		2	1	free_spin	free_spin	low	1	1	24	
small-clawed otters	Twoface	m	1		3	1	free_spin	free_spin	low	1	1	16	
small-clawed otters	Twoface	m	1		4	1	free_spin	free_spin	low	1	1	18	
small-clawed otters	Rudi	m	2		5	1	free_spin	free_spin	low	1	1	33	
small-clawed otters	Rudi	m	2		6	1	free_spin	free_spin	low	1	1	38	
small-clawed otters	Rudi	m	2		7	1	free_spin	free_spin	low	1	1	12	
small-clawed otters	Rudi	m	2		8	1	free_spin	free_spin	low	1	1	17	
small-clawed otters	Blacky	m	2		5	1	free_spin	free_spin	low	1	2	13	
small-clawed otters	Blacky	m	2		6	1	free_spin	free_spin	low	1	1	5	
small-clawed otters	Blacky	m	2		7	1	free_spin	free_spin	low	1	1	5	
small-clawed otters	Blacky	m	2		8	1	free_spin	free_spin	low	1	1	7	
small-clawed otters	Twoface	m	2		5	1	free_spin	free_spin	low	1	1	14	
small-clawed otters	Twoface	m	2		6	1	free_spin	free_spin	low	1	1	9	
small-clawed otters	Twoface	m	2		7	1	free_spin	free_spin	low	1	1	6	
small-clawed otters	Twoface	m	2		8	1	free_spin	free_spin	low	1	1	8	
small-clawed otters	James	m	2		5	1	free_spin	free_spin	low	1	1	7	
small-clawed otters	James	m	2		6	1	free_spin	free_spin	low	1	2	40	
small-clawed otters	James	m	2		7	1	free_spin	free_spin	low	1	1	5	
small-clawed otters	James	m	2		8	1	free_spin	free_spin	low	1	1	7	
small-clawed otters	Blacky	m	3		9	1	free_spin	free_spin	low	1	1	10	
small-clawed otters	Blacky	m	3		10	1	free_spin	free_spin	low	1	1	5	
small-clawed otters	Blacky	m	3		11	1	free_spin	free_spin	low	1	1	9	
small-clawed otters	Blacky	m	3		12	1	free_spin	free_spin	low	1	1	7	
small-clawed otters	Rudi	m	3		9	1	free_spin	free_spin	low	1	1	29	
small-clawed otters	Rudi	m	3		10	1	free_spin	free_spin	low	1	1	10	
small-clawed otters	Rudi	m	3		11	1	free_spin	free_spin	low	1	1	29	
small-clawed otters	Rudi	m	3		12	1	free_spin	free_spin	low	1	1	10	
small-clawed otters	Twoface	m	3		9	1	free_spin	free_spin	low	1	1	10	
small-clawed otters	Twoface	m	3		10	1	free_spin	free_spin	low	1	1	7	
small-clawed otters	Twoface	m	3		11	1	free_spin	free_spin	low	1	1	5	
small-clawed otters	Twoface	m	3		12	1	free_spin	free_spin	low	1	1	6	
small-clawed otters	James	m	3		9	1	free_spin	free_spin	low	1	1	14	
small-clawed otters	James	m	3		10	1	free_spin	free_spin	low	1	1	13	
small-clawed otters	James	m	3		11	1	free_spin	free_spin	low	1	1	10	
small-clawed otters	James	m	3		12	1	free_spin	free_spin	low	1	1	8	
